factor,ic,abs_ic,top_return,bottom_return,long_short_return,period
vol_change_5d,-0.013559393233468598,0.013559393233468598,0.004588454195519851,0.0009378583836813991,0.003650595811838452,5
ma60_position,-0.013427069718120976,0.013427069718120976,0.00999921017884236,0.002688051197721484,0.007311158981120877,5
low_60d,0.012726380841261877,0.012726380841261877,0.006245517345048791,0.0009745517892322132,0.0052709655558165775,5
vol_price_divergence,-0.010965480391181306,0.010965480391181306,0.005338930515118449,0.0008117177781971309,0.004527212736921318,5
ma10,0.009906649243960695,0.009906649243960695,0.006059274449631349,0.0018306687644198331,0.004228605685211516,5
ma20_position,-0.009767039536724482,0.009767039536724482,0.007233025684578691,0.0007010886655405636,0.006531937019038128,5
ma20,0.009260489404884727,0.009260489404884727,0.00653226105709588,0.001730701311851101,0.0048015597452447795,5
ma5,0.008561535813799592,0.008561535813799592,0.005775190080687917,0.0022436235391029213,0.0035315665415849955,5
ma60,0.0054415296065358915,0.0054415296065358915,0.006378492295384886,0.0013217473720849274,0.005056744923299959,5
momentum_20d,-0.0033664312888458726,0.0033664312888458726,0.009088312610903737,0.00033808486653636073,0.008750227744367376,5
return_20d,-0.0033664312888458726,0.0033664312888458726,0.009088312610903737,0.00033808486653636073,0.008750227744367376,5
return_1d,0.0029815854499748913,0.0029815854499748913,0.007948078309806232,0.003073821268355756,0.004874257041450476,5
high_60d,-0.0006619860482665027,0.0006619860482665027,0.006072077065413937,0.0031432005800264896,0.002928876485387447,5
amplitude,-0.046969696584955166,0.046969696584955166,0.007108040100689247,0.003536143880962647,0.0035718962197266004,10
volatility_20d,-0.03966469394919238,0.03966469394919238,0.019991359433374448,0.007053432572237492,0.012937926861136956,10
volatility_10d,-0.036299246807586616,0.036299246807586616,0.013055253954171456,0.005884858934913357,0.007170395019258099,10
volatility_5d,-0.03480382503155387,0.03480382503155387,0.008917475318430783,0.006041863918224084,0.0028756114002066986,10
return_20d,0.02436992026537647,0.02436992026537647,0.021397089838431853,-0.001069486617144976,0.022466576455576828,10
momentum_20d,0.02436992026537647,0.02436992026537647,0.021397089838431853,-0.001069486617144976,0.022466576455576828,10
reversal_5d,0.020232291954496922,0.020232291954496922,0.007522125791821435,0.008729769431066337,-0.0012076436392449022,10
momentum_5d,-0.020232291954496922,0.020232291954496922,0.008729769431066337,0.007522125791821435,0.0012076436392449022,10
return_5d,-0.020232291954496922,0.020232291954496922,0.008729769431066337,0.007522125791821435,0.0012076436392449022,10
ma20_position,0.017669082413794085,0.017669082413794085,0.016016895504341138,-0.0014327538575945023,0.01744964936193564,10
low_60d,0.017209698154352582,0.017209698154352582,0.01331243992278066,0.0019362937328800595,0.0113761461899006,10
ma20,0.015438918213710804,0.015438918213710804,0.013389344289933686,0.0034565723038623764,0.00993277198607131,10
ma10,0.015330533377473256,0.015330533377473256,0.013275909289018742,0.0032206546724481144,0.010055254616570627,10
ma5,0.014238096654394591,0.014238096654394591,0.01322192351826189,0.003804401242169491,0.0094175222760924,10
